,x
2018,0.881
2019,0.593
2020,0.861
2021,0.33
2022,3.021
2023,0.576
2024,1.072
2025,0.501
2026,0.336
2027,0.414
2028,1.069
2029,0.437
2030,0.517
2031,0.609
2032,0.349
2033,0.508
2034,1.153
2035,0.448
2036,1.202
2037,0.965
2038,0.332
2039,1.396
2040,0.395
2041,0.868
2042,0.417
2043,1.072
2044,0.494
2045,0.315
2046,0.522
2047,0.58
2048,0.791
2049,1.926
2050,1.572
2051,0.725
2052,1.499
2053,1.039
2054,1.533
2055,0.713
2056,1.242
2057,0.707
2058,0.667
2059,0.991
2060,0.702
2061,0.516
2062,1.117
2063,1.056
2064,0.669
2065,0.611
2066,0.687
2067,0.375
2068,1.166
2069,0.28
2070,0.562
2071,0.694
2072,1.24
2073,1.149
2074,0.379
2075,0.785
2076,1.117
2077,0.46
2078,0.506
2079,0.739
2080,0.379
2081,1.612
2082,0.454
2083,0.756
2084,0.854
2085,0.532
2086,0.411
2087,1.347
2088,1.898
2089,0.615
2090,1.039
2091,0.497
2092,1.465
2093,1.077
2094,0.346
2095,0.398
2096,1.015
2097,0.595
2098,1.365
2099,0.917
2100,0.699
2101,0.456
2102,0.45
2103,1.503
2104,1.499
2105,0.687
2106,0.454
2107,0.376
2108,1.154
2109,1.069
2110,0.387
2111,0.429
2112,0.367
2113,0.781
2114,0.201
2115,0.744
2116,0.948
2117,0.902
2118,1.575
2119,0.438
2120,0.773
2121,0.308
2122,0.77
2123,0.522
2124,0.901
2125,0.88
2126,0.303
2127,0.318
2128,1.311
2129,1.672
2130,1.081
2131,0.484
2132,0.431
2133,0.422
2134,1.038
2135,0.787
2136,0.906
2137,0.333
2138,0.619
2139,0.622
2140,0.539
